county_fips,state,county,total_hh,eligible_hh,enrolled_hh,gap_hh,gap_rate,lep_hh,lep_share,noncitizen_share,no_hs_share,high_income_share,poverty_share,gap_hh_rank,gap_rate_rank,gap_severity,gap_score,score_language,score_documentation,score_awareness,score_stigma,top_barrier,barrier_rank,barrier_scores,barrier_weight,priority_score,priority_rank,priority_tier
01107,01,107,6946,2370.0,1245,1125.0,0.4746835443037974,2,0.0002879355024474,0.034017937695696,0.1611813106082868,0.4105960264900662,0.1462712352433055,1720,1859,moderate,47.05,6.35,75.29,70.8,53.62,documentation,"[""documentation"", ""awareness"", ""stigma"", ""language""]","{""language"": 6.35, ""documentation"": 75.29, ""awareness"": 70.8, ""stigma"": 53.62}",1.0,47.05,1717,P4
01109,01,109,12605,4450.5,1867,2583.5,0.580496573418717,97,0.0076953589845299,0.0221527630261281,0.1241732120711037,0.4033320111067037,0.1501785005950019,881,1068,high,65.36,44.81,62.15,52.51,58.75,documentation,"[""documentation"", ""stigma"", ""awareness"", ""language""]","{""language"": 44.81, ""documentation"": 62.15, ""awareness"": 52.51, ""stigma"": 58.75}",1.0,65.36,557,P2
01111,01,111,9127,3157.5,1602,1555.5,0.4926365795724465,67,0.0073408567985099,0.0069923800986104,0.1639898024219248,0.4433000986085241,0.1526240823929001,1355,1730,moderate,53.61,43.56,27.91,66.69,60.37,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 43.56, ""documentation"": 27.91, ""awareness"": 66.69, ""stigma"": 60.37}",1.1,58.97,857,P3
01113,01,113,23784,8434.0,4474,3960.0,0.4695281005454114,256,0.0107635385132862,0.0111114886676407,0.1421074989380044,0.4196939118735284,0.1413134880591994,600,1904,moderate,64.18,54.83,40.33,48.53,53.1,language,"[""language"", ""stigma"", ""awareness"", ""documentation""]","{""language"": 54.83, ""documentation"": 40.33, ""awareness"": 48.53, ""stigma"": 53.1}",1.2,77.02,145,P1
01115,01,115,34477,6396.5,3581,2815.5,0.4401625889158133,211,0.0061200220436812,0.0077069631766466,0.1241508048228165,0.6262435826783073,0.0677843199814369,810,2118,moderate,59.45,38.32,30.23,40.73,57.09,stigma,"[""stigma"", ""awareness"", ""language"", ""documentation""]","{""language"": 38.32, ""documentation"": 30.23, ""awareness"": 40.73, ""stigma"": 57.09}",0.8,47.56,1671,P4
01117,01,117,85414,12170.0,4206,7964.0,0.6543960558751027,1107,0.01296040461751,0.0292172457095018,0.0599199014171287,0.6965134521272859,0.059322827639497,290,636,critical,78.23,60.1,70.88,9.43,72.32,stigma,"[""stigma"", ""documentation"", ""language"", ""awareness""]","{""language"": 60.1, ""documentation"": 70.88, ""awareness"": 9.43, ""stigma"": 72.32}",0.8,62.58,668,P2
01119,01,119,4765,2120.5,1270,850.5,0.4010846498467342,3,0.000629590766002,0.0044925124792013,0.1204886954079483,0.2789087093389297,0.1737670514165792,2008,2346,moderate,38.9,8.19,17.31,66.02,47.58,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 8.19, ""documentation"": 17.31, ""awareness"": 66.02, ""stigma"": 47.58}",1.1,42.79,2044,P4
01121,01,121,32889,10350.0,5360,4990.0,0.4821256038647343,81,0.0024628295174678,0.0123198225945546,0.1548865167374857,0.464319377299401,0.1418103317218522,483,1793,moderate,66.62,18.51,43.89,48.67,60.56,stigma,"[""stigma"", ""awareness"", ""documentation"", ""language""]","{""language"": 18.51, ""documentation"": 43.89, ""awareness"": 48.67, ""stigma"": 60.56}",0.8,53.3,1237,P3
01123,01,123,16548,5124.5,2714,2410.5,0.4703873548638891,91,0.0054991539763113,0.0118578037496956,0.1619114830124004,0.4712351945854484,0.1192893401015228,952,1897,moderate,58.76,35.18,42.55,57.47,53.79,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 35.18, ""documentation"": 42.55, ""awareness"": 57.47, ""stigma"": 53.79}",1.1,64.64,580,P2
01125,01,125,87289,23204.0,9992,13212.0,0.569384588863989,997,0.0114218286382018,0.0262566442769488,0.0912916937121799,0.5239606365063181,0.1173572844230086,162,1156,high,75.97,56.57,67.64,23.43,72.11,stigma,"[""stigma"", ""documentation"", ""language"", ""awareness""]","{""language"": 56.57, ""documentation"": 67.64, ""awareness"": 23.43, ""stigma"": 72.11}",0.8,60.78,753,P2
